BranchName,OrderDate,ProductID,Quantity,SubTotal
Brena,2017-11-04,1,200,119800
Velvet,2017-12-31,2,100,99900
Valentina,2018-01-17,3,50,55950
Tanney,2018-01-29,4,21,13739
Mitchael,2018-01-13,5,24,29976
Theodosia,2017-07-22,6,25,31225
Cathee,2017-07-24,7,35,54215
Heindrick,2017-11-03,8,20,30980
Aharon,2017-06-27,9,50,77450
Jaymie,2017-09-10,10,55,79695
Shay,2018-01-08,11,33,57717
Nessa,2018-02-05,12,131,189819
Enrica,2018-01-25,13,121,211629
Katy,2017-11-19,14,66,115434
Nickola,2017-09-03,15,72,151128
Agustin,2017-10-28,16,75,157425
Ansley,2017-06-21,17,1000,249000
Tedi,2018-05-22,18,600,317400
Zed,2018-05-08,19,500,264500
Xena,2018-04-24,20,55,21945
Krisha,2018-04-21,21,60,23940
Alyss,2017-06-21,22,70,27930
Aylmer,2018-04-20,23,99,54351
Pippy,2017-09-16,24,15,10485
Wilek,2018-02-18,25,18,14382
Bernadene,2018-03-30,26,62,71238
Natka,2018-05-30,27,45,71955
Arielle,2017-09-17,28,215,343785
Annamaria,2017-10-14,29,12,16788
Arleen,2017-10-28,30,21,29379
Meara,2018-02-15,31,31,49569
Lizbeth,2017-06-20,32,41,57359
Missy,2018-04-10,33,56,89544
Cahra,2018-04-17,34,1000,1799000
Vinita,2017-07-07,35,500,799500
Gus,2017-07-08,36,1500,2398500
Tamera,2018-01-27,37,1200,2158800
Tracee,2017-10-12,38,1000,99000
Malory,2017-08-06,39,1000,99000
Lorianne,2017-09-09,40,20,3380
Brena,2017-11-04,41,30,7470
Velvet,2017-12-31,42,25,8725
Valentina,2018-01-17,43,32,11168
Tanney,2018-01-29,44,121,90629
Mitchael,2018-01-13,45,100,500
Theodosia,2017-07-22,46,55,4345
Cathee,2017-07-24,47,65,8385
Heindrick,2017-11-03,48,33,4257
Aharon,2017-06-27,49,40,9960
