SupplierName,OrderDate,ProductID,Quantity,SubTotal
Apple,2018-01-25,1,400,239600
Samsung,2018-03-02,2,200,199800
Nokia,2018-02-26,3,100,111900
Spark,2017-06-16,4,50,62450
Sony,2017-09-20,5,55,68695
Apple,2017-06-02,6,60,74940
Samsung,2018-03-19,7,80,123920
Nokia,2018-02-09,8,30,46470
Spark,2017-08-12,9,100,154900
Sony,2017-08-13,10,120,173880
Apple,2017-08-03,11,100,173151
Samsung,2018-01-10,12,270,391230
Nokia,2018-05-28,13,245,428505
Spark,2018-02-10,14,332,580668
Sony,2017-11-14,15,160,335840
Apple,2018-03-17,16,150,314850
Samsung,2018-01-21,17,1500,373500
Nokia,2018-03-23,18,1200,634800
Spark,2018-01-22,19,1000,529000
Sony,2017-07-02,20,120,47880
Apple,2017-08-15,21,130,51870
Samsung,2017-06-19,22,150,59850
Nokia,2018-03-15,23,200,109800
Spark,2017-12-09,24,30,20970
Sony,2018-01-18,25,40,31960
Apple,2018-01-25,26,150,172350
Samsung,2018-03-02,27,90,143910
Nokia,2018-02-26,28,400,639600
Spark,2017-06-16,29,25,34975
Sony,2017-09-20,30,45,62955
Apple,2017-06-02,31,60,95940
Samsung,2018-03-19,32,80,111920
Nokia,2018-02-09,33,112,179088
Spark,2017-08-12,34,2000,3598000
Sony,2017-08-13,35,1000,1599000
Apple,2017-08-03,36,3000,4797000
Samsung,2018-01-10,37,2000,3598000
Nokia,2018-05-28,38,1500,148500
Spark,2018-02-10,39,1500,148500
Sony,2017-11-14,40,50,8450
Apple,2018-03-17,41,50,12450
Samsung,2018-01-21,42,50,17450
Nokia,2018-03-23,43,60,20940
Spark,2018-01-22,44,150,112350
Sony,2017-07-02,45,1500,7500
Apple,2017-08-15,46,155,12245
Samsung,2017-06-19,47,165,21285
Nokia,2018-03-15,48,133,17157
Spark,2017-12-09,49,140,34860
